"verizon","Verizon Wireless","@VerizonWireless"
"at&t","AT&T Mobility","@ATT"
"sprint","Sprint Corporation","@sprint"
"t-mobile","T-Mobile US","@Tmobile"
"cellular","U.S. Cellular","@USCellular"
"comcast","AT&T Mobility","@ATT"
"towerstream","AT&T Mobility","@ATT"
"newcom limited","Tigo","@tigocr"
"charter","AT&T Mobility","@ATT"
"cablevision","AT&T Mobility","@ATT"
"time warner","AT&T Mobility","@ATT"
"vodafone","Vodafone NL","@vodafoneNL"
"mediacom communications","Verizon Wireless","@VerizonWireless"
"cable one","Verizon Wireless","@VerizonWireless"
"pocketinet","Verizon Wireless","@VerizonWireless"
"wave broadband","Verizon Wireless","@VerizonWireless"
"telefonica","Telefonica ES","@telefonica_es"
"mci communications","Verizon Wireless","@VerizonWireless"
"atlantic health","AT&T Mobility","@ATT"
"cox communications","Verizon Wireless","@VerizonWireless"
"ashland fiber","AT&T Mobility","@ATT"
"wayport","AT&T Mobility","@ATT"
"embarq corporation","AT&T Mobility","@ATT"
"sonic telecom","AT&T Mobility","@ATT"
"columbia university","Verizon Wireless","@VerizonWireless"
"epb fiber optics","Verizon Wireless","@VerizonWireless"
"qwest communications","Verizon Wireless","@VerizonWireless"
"midcontinent","Verizon Wireless","@VerizonWireless"
"rcn","Verizon Wireless","@VerizonWireless"
"ritter communications","Verizon Wireless","@VerizonWireless"
"frontier communications","Verizon Wireless","@VerizonWireless"
"tusmobil","Tusmobil","@Tusmobil"
"city of opelika","Verizon Wireless","@VerizonWireless"
"windstream communications","AT&T Mobility","@ATT"
"bellsouth.net","AT&T Mobility","@ATT"
"bard college","AT&T Mobility","@ATT"
"cricket communications","Cricket Wireless","@Cricketnation"
"cal-ore telephone","Verizon Wireless","@VerizonWireless"
"bend cable","Verizon Wireless","@VerizonWireless"
"gustavus adolphus","Verizon Wireless","@VerizonWireless"
"softbank mobile","Softbank Mobile","@SBCare"
"bharti airtel","Bharti Airtel","@airtelindia"
"armstrong cable","Armstrong Cable","armstrongonewire.com"
"koninklijke","Vodafone NL","@vodafoneNL"
"beijing blue","Beijing Blue I. T. Technologies",""
"bell","Bell","@Bell"
"iusacell","Iusacell Mexico","@IUSACELL"
"opera software","Opera","@opera"
"google inc","Google","@google","because I'm using compression on Chrome Mobile, amibeingtracked.com shows that @ATT is tracking me. Protect my privacy."
"b.v.","Vodafone NL","@vodafoneNL"
"redhosting bv","Vodafone NL","@vodafoneNL"
"jazz telecom","Telefonica ES","@telefonica_es"
"teksavvy solutions","Bell","@Bell"
"rogers communications","Rogers Wireless","@rogerrwireless"
"shaw communications","Bell","@Bell"
"xs4all internet","Vodafone NL","@vodafoneNL"
"concepts ict","Vodafone NL","@vodafoneNL"
"mileweb","Mileweb","Mileweb"
"smart broadband","Smart Broadband","@SMARTCares"
"china networks inter-exchange","China Networks Inter-Exchange",""
"Telenor Sverige AB","Telenor Norge AS"
"Reliance Communications Ltd.DAKC MUMBAI","Reliance Communications"
"America Movil Peru S.A.C.","Claro Peru"
"BSES TeleCom Limited","Reliance Communication Limited"
"MTS OJSC","MTS OJSC"
"Free Mobile SAS","Free Mobile SAS"
"RAYA Telecom - Egypt","Vodafone Data Routes"
"BSES TeleCom Limited","BSES TeleCom Limited"
"Globalive Wireless Management Corp.","Globalive Wireless Management Corp."
"Microplex PTY LTD","Optus Wireless"
"Telstra Pty Ltd","Telstra Internet"
"Societe Francaise du Radiotelephone S.A","SFR"
"Swisscom (Switzerland) Ltd","Bluewin"
"Hutchison 3G UK Limited","Three"
"Telepak Networks Inc","Cellular South"
"TELE2","Tele2 Mobile"
"Orange Personal Communications Services","Orange mobile"
"BlackBerry Limited","Research In Motion"
"SINGTEL MOBILE INTERNET SERVICE PROVIDER Singapore","SingTel Mobile"
"Deutsche Telekom AG","Telekom Deutschland GmbH"
"Mobilicity","Mobilicity"
"Polkomtel Sp. z o.o.","Polkomtel Sp. z o.o."
"Orange Personal Communications Services","T-Mobile International UK Limited"
"TATA TELESERVICES LTD - TATA INDICOM - CDMA DIVISION","Tata Indicom"
"Telenordoo-NET","Telenordoo-NET"
"E-Plus Mobilfunk GmbH & Co. KG","E-Plus Mobilfunk GmbH"
"Cable & Wireless Panama","Cable & Wireless Panama"
"TELE2","Mobile Services"
"Spark New Zealand Trading Ltd.","Spark New Zealand"
"Hutchison Telephone Company Limited","Hutchison Telephone Company Limited"
"StarHub Broadband","Starhub Mobile Ltd"
"Rogers Cable Communications Inc.","Rogers Wireless"
"Uninet S.A. de C.V.","Telmex"
"D 26/2 TTC INDUSTRIAL AREA MIDC SANPADA","Tata Mobile"
"Kyivstar PJSC","Kyivstar GSM"
"Xfera Moviles SA","Xfera Moviles SA / Yoigo"
"TeliaSonera AB","TeliaSonera AB"
"TELE2","Mobile Services Lithuania"
"France Telecom Espana SA","Orange Espana"
"BlackBerry Limited","BlackBerry UK"
"TELEFÓNICA CHILE S.A.","Movistar Chile"
"SmarTone Mobile Communications Ltd","SmarTone Mobile Communications Ltd"
"Syniverse Technologies, LLC","Syniverse Technologies, LLC"
"Mirs Communications Ltd.","Mirs Communications"
"Etihad Etisalat Company (Mobily)","Mobily"
"Bouygues Telecom SA","Bouygues Telecom"
"Telenor Sverige AB","Telenor Sverige AB"
"Telefónica Móviles Argentina S.A. (Movistar Argentina)","Telefónica Móviles Argentina S.A. (Movistar Argent"
"Hutchison 3G Ireland Limited","Hutchison 3G Ireland Ltd."
"CLEAR WIRELESS LLC","Clear Wireless"
"Orange Romania S.A.","Orange Romania"
"TELEKOM ROMANIA MOBILE COMMUNICATIONS S.A.","Telekom Romania Mobile Communications S.A."
"Orange Dominicana","Orange - MobileNAT1"
